ID;DESCRIPTION;SHORT_DESC;PRICE;IS_PRODUCT;IS_DELETE;IS_ACTIVE;CREATED_BY;UPDATED_BY;CREATED_DATE;UPDATED_DATE
1001;MIE GORENG;MIE GR;33000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1002;MIE GORENG SEAFOOD;MIE GR SF;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1003;MIE GORENG UDANG;MIE GR UDG;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1004;MIE MASAK;MIE MSK;34000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1005;MIE MASAK SEAFOOD;MIE MSK SF;36000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1006;MIE CAP CAY;MIE CCY;34000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1007;MIE CAP CAY SEAFOOD;MIE CCY SF;36000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1008;IFU MIE;IFU MIE;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1009;IFU MIE SEAFOOD;IFU MIE SF;37000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1010;BIHUN GORENG;BHN GR;33000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1011;BIHUN GORENG SEAFOOD;BHN GR SF;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1012;BIHUN GORENG UDANG;BHN GR UDG;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1013;BIHUN MASAK;BHN MSK;34000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1014;BIHUN MASAK SEAFOOD;BHN MSK SF;36000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1015;BIHUN CAP CAY;BHN CCY;34000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1016;BIHUN CAP CAY SEAFOOD;BHN CCY SF;36000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
