1001;MIE GORENG;MIE GR (B);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
1002;MIE GORENG SEAFOOD;MIE GR SF (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1003;MIE GORENG UDANG;MIE GR UDG (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1004;MIE MASAK;MIE MSK (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1005;MIE MASAK SEAFOOD;MIE MSK SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1006;MIE CAP CAY;MIE CCY (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1007;MIE CAP CAY SEAFOOD;MIE CCY SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1008;IFU MIE;IFU MIE (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1009;IFU MIE SEAFOOD;IFU MIE SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1010;BIHUN GORENG;BHN GR (B);33000;Y;N;Y;System;System;2015-03-19;2015-03-19
1011;BIHUN GORENG SEAFOOD;BHN GR SF (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1012;BIHUN GORENG UDANG;BHN GR UDG (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1013;BIHUN MASAK;BHN MSK (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1014;BIHUN MASAK SEAFOOD;BHN MSK SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1015;BIHUN CAP CAY;BHN CCY (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1016;BIHUN CAP CAY SEAFOOD;BHN CCY SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1017;KWETIAU GORENG;KWTIAU GR (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1018;KWETIAU GORENG SEAFOOD;KWTIAU GR SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1019;KWETIAU GORENG UDANG;KWTIAU GR UDG (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1020;KWETIAU MASAK;KWTIAU MSK (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1021;KWETIAU MASAK SEAFOOD;KWTIAU MSK SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1022;KWETIAU CAP CAY;KWTIAU CCY (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1023;KWETIAU CAP CAY SEAFOOD;KWTIAU CCY SF (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1024;KWETIAU SIRAM;KWTIAU SRM (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1025;NASI PUTIH;NS (B);5000;Y;N;Y;System;System;2015-03-19;2015-03-19
1026;NASI CAP CAY (CAMPUR);NS CCY (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1027;NASI CAP CAY SEAFOOD;NS CCY SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1028;NASI GORENG;NS GRG (B);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
1029;NASI GORENG TELOR;NS GRG TLR (B);24000;Y;N;Y;System;System;2015-03-19;2015-03-19
1030;NASI GORENG IKAN ASIN;NS GRG IKN ASN (B);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
1031;NASI GORENG SEAFOOD;NS GRG SF (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1032;NASI GORENG UDANG;NS GRG UDG (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1033;NASI GORENG SPECIAL;NS GRG SPC (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1034;PAKET AYAM GR MENTEGA;P. AYM GR MTG (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1035;PAKET AYAM GR TEPUNG;P. AYM GR TPG (B);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
1036;PAKET AYAM NANKING;P AYM NANKING (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1037;PAKET PUYUNG HAI;P PY HAI (B);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
1038;PAKET BISTIK AYAM;P BSTK AYM (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1039;PAKET CUMI GR MENTEGA;P CM GR MTG (B);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
1040;PAKET CUMI GR TEPUNG;P CM GR TPG (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1041;PAKET UDANG GR TEPUNG;P UDG GR TPG (B);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
1042;PAKET TAHU CAH AYAM JAMUR;P THU C AYM JMR (B);26000;Y;N;Y;System;System;2015-03-19;2015-03-19
1043;PAKET SAPO TAHU AYAM;P SPO TH AYM (B);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
1044;PAKET SAPO TAHU SEAFOOD;P SPO TH SF (B);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
1045;PAKET AYAM KULUYUK;P AYM KLYK (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1046;PAKET UDANG KULUYUK;P UDG KLYK (B);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
1047;CAP CAY GORENG;CCY GR (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1048;CAP CAY GR SEAFOOD;CCY GR SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1049;CAP CAY KUAH;CCY KUAH (B);34000;Y;N;Y;System;System;2015-03-19;2015-03-19
1050;CAP CAY KUAH SEAFOOD;CCY KUAH SF (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1051;KANGKUNG CAH POLOS;KKUNG C PLS (B);20000;Y;N;Y;System;System;2015-03-19;2015-03-19
1052;KANGKUNG CAH AYAM;KKUNG C AYM (B);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
1053;KANGKUNG CAH UDANG;KKUNG C UDG (B);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
1054;KANGKUNG CAH CUMI;KKUNG C CUMI (B);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
1055;TOGE TAHU CAH IKAN ASIN;TG THU C IKN ASN (B);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
1056;TOGE CAH IKAN ASIN;TG C IKN ASN (B);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
1057;AYAM KULUYUK;AYM KULUYUK (B);37000;Y;N;Y;System;System;2015-03-19;2015-03-19
1058;AYAM CAH JAMUR;AYM C JMR (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
1059;SAPO TAHU AYAM;SPO THU AYM (B);35000;Y;N;Y;System;System;2015-03-19;2015-03-19
